PRECINCT,SHAPE_Area,SHAPE_Leng,WARD,DATA_ADMIN,WARD_PRECI,PERIMETER,OBJECTID,TIMOTHY M. CULLERTON,TOM CARAVETTE,BERNARD L. STONE,SHARON DENISE DIXON,DANIEL 'DANNY' SOLIS,LATASHA R. THOMAS,CHE 'RHYMEFEST' SMITH,MAURITA E. GAVIN,MICHELE SMITH,RAYMOND A. LOPEZ,JAMES CAPPLEMAN,HAL E. BASKIN,TIM EGAN,TONI L. FOULKES,MARY O'CONNOR,MARY ANNE 'MOLLY' PHELAN,CUAHUTEMOC MORFIN,JOHN ARENA,WILLIE B. COCHRAN,NICHOLAS SPOSATO,JOHN GARRIDO,DEBRA L. SILVERSTEIN,MICHAEL D. CHANDLER,BALLOTS CAST,REGISTERED VOTERS,DAVID H. MOORE,FREDDRENNA M. LYLE,RODERICK T. SAWYER,JOHN A. RICE,JOANN THOMPSON
21,1899571.24421,5800.18143427,49,1900489.44098,49021,5809.80193582,2870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,667968.767503,5026.39791768,49,663368.187302,49017,5025.1601802,2871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,651453.531015,3854.74858165,48,655160.358233,48015,3866.18933912,2872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,471982.061747,3946.8386331,48,637297.615774,48032,4173.90796418,2873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,81152.6841794,1156.03888214,48,74376.4383116,48002,1128.78621597,2874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1784464.14653,5344.98585752,16,2669144.01469,16017,6675.97520442,2875,,,,,,,,,,,,17,,,,,,,,,,,,50,479,,,,,32
47,3127206.0603,7997.48838426,13,2237461.65654,13047,6028.38895553,2876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2485531.88376,7345.33958445,15,2485560.47233,15028,7346.38475261,2877,,,,,,,,,,66,,,,47,,,,,,,,,,115,572,,,,,
43,9272110.71292,13300.7301618,18,9272258.15137,18043,13301.7888352,2879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3339477.94163,8693.57020563,13,2672136.26078,13031,8032.66889971,2880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,9099200.21782,16105.1093327,23,9099220.57232,23041,16105.1015865,2881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1768031.57317,7307.75934725,13,1768004.74489,13007,7307.80301944,2882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1761765.74099,5979.10559178,13,1761772.2542,13012,5979.15828695,2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2426574.82863,7978.24324726,13,1764300.71839,13014,5986.32001481,2884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3142378.64337,8697.60400069,23,3142394.13282,23029,8698.20408291,2885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5854050.67637,10665.1581871,14,6155334.48028,14013,10699.1648772,2886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1604846.05579,5608.43948349,42,2364344.57613,42014,7416.98971442,5369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1600893.93306,5447.56693432,42,2846145.76408,42059,7195.0057915,5370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,701403.572556,3604.80128811,5,1752731.74044,05033,5800.46699861,5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6515373.03266,17143.0568323,14,6515371.99397,14011,17143.0726614,2887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2208226.23128,7296.41572103,23,2208226.99195,23024,7296.40190816,2888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2319109.65584,6827.79951579,27,973675.407036,27037,5060.00763305,2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2665490.85881,8011.39825017,23,2665518.3756,23009,8011.48955234,2890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2687291.96884,6706.42962824,14,2687267.99561,14015,6706.40062463,2891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2668929.81366,7336.54958671,14,2668927.65692,14009,7336.53047601,2892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1785094.27713,5497.44719654,14,1785093.05511,14006,5497.39991163,2893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1679426.21544,5080.75484558,35,1679431.27655,35008,5080.76756931,2894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4402482.24751,9315.23484053,3,4402471.97741,03013,9315.23597035,2895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,875700.265383,3973.88792332,20,875710.582876,20008,3973.88897567,2896,,,,,,,22,,,,,,,,,,,,15,,,,,37,202,,,,,
49,357215.216994,2693.95316493,44,357218.777404,44049,2694.01505665,2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,18082182.9239,36163.0593454,46,17831420.5192,46033,36001.0999873,2783,,,,,,,,,,,141,,,,,121,,,,,,,,262,723,,,,,
43,705908.127699,4489.0601382,46,325266.758363,46043,3007.16589886,2784,,,,,,,,,,,140,,,,,67,,,,,,,,207,700,,,,,
